stadium,time,home,away,referee
1,10:00,it6,it7,it1
1,10:25,it8,it2,it6
1,10:50,it2,it6,it present
1,11:15,it7,it1,it8
1,11:40,it6,it1,it2
1,13:10,it2,it9,it8
1,13:35,it8,it1,it present
1,14:00,it9,it3+4,it8
1,14:25,it3+4,it7,it2
1,14:50,it8,it6,it1
1,15:15,it3+4,it2,it present
1,15:40,it6,it9,it7
1,16:05,it9,it7,it8
1,16:30,it present,it8,it1
2,10:00,it9,it present,it2
2,10:25,it1,it3+4,it7
2,10:50,it9,it8,it3+4
2,11:15,it present,it3+4,it6
2,11:40,it3+4,it8,it9
2,13:10,it present,it7,it3+4
2,13:35,it7,it2,it9
2,14:00,it6,it present,it1
2,14:25,it1,it9,it6
2,14:50,it2g13,it present,it7
2,15:15,it8,it7,it9
2,15:40,it1,it present,it3+4
2,16:05,it2,it1,it6
2,16:30,it3+4,it6,it7
